ISSUER NAME	CLASS TITLE	CUSIP	VALUE ($thousands)	INVESTMENT DISCRETION	SHRS or PRN AMOUNT	SH or PRN	VOTING AUTH SOLE	VOTING AUTH SHARED	VOTING AUTH NONE
SELECT SECTOR SPDR TR	SBI INT-UTILS	81369Y886	753	SOLE	14230	SH	14141	0	89
DIAGEO P L C	SPON ADR NEW	25243Q205	225	SOLE	1584	SH	279	0	1305
MCDONALDS CORP	COM	580135101	628	SOLE	3535	SH	3402	0	133
PIMCO ETF TR	25YR+ ZERO U S	72201R882	787	SOLE	7000	SH	6956	0	44
3M CO	COM	88579Y101	527	SOLE	2765	SH	2659	0	106
WISDOMTREE TR	US MIDCP EARNING	97717W570	510	SOLE	14861	SH	14861	0	0
INTEL CORP	COM	458140100	512	SOLE	10904	SH	10532	0	372
STARBUCKS CORP	COM	855244109	634	SOLE	9849	SH	9576	0	273
ISHARES TR	TIPS BD ETF	464287176	233	SOLE	2132	SH	314	0	1818
EXXON MOBIL CORP	COM	30231G102	648	SOLE	9510	SH	9295	0	215
LILLY ELI  CO	COM	532457108	1577	SOLE	13627	SH	13532	0	95
ALPHABET INC	CAP STK CL C	02079K107	676	SOLE	653	SH	320	0	333
MICROSOFT CORP	COM	594918104	632	SOLE	6226	SH	5781	0	445
NUVEEN MUN VALUE FD INC	COM	670928100	185	SOLE	20000	SH	0	0	20000
CISCO SYS INC	COM	17275R102	582	SOLE	13443	SH	13098	0	345
SCHWAB STRATEGIC TR	SHT TM US TRES	808524862	3346	SOLE	67047	SH	66623	0	424
SCHWAB STRATEGIC TR	US DIVIDEND EQ	808524797	2389	SOLE	50859	SH	41365	0	9494
NOVARTIS A G	SPONSORED ADR	66987V109	305	SOLE	3555	SH	875	0	2680
MOLINA HEALTHCARE INC	COM	60855R100	654	SOLE	5628	SH	4812	0	816
LATTICE STRATEGIES TR	HARTFORD MLT ETF	518416102	274	SOLE	10603	SH	10603	0	0
HOME DEPOT INC	COM	437076102	901	SOLE	5246	SH	5186	0	60
ISHARES TR	CORE SP500 ETF	464287200	1702	SOLE	6765	SH	6587	0	178
ISHARES GOLD TRUST	ISHARES	464285105	342	SOLE	27820	SH	27201	0	619
ISHARES TR	CORE HIGH DV ETF	46429B663	338	SOLE	4007	SH	1642	0	2365
BERKSHIRE HATHAWAY INC DEL	CL B NEW	084670702	807	SOLE	3953	SH	1487	0	2466
ALPS ETF TR	ALERIAN MLP	00162Q866	287	SOLE	32825	SH	0	0	32825
HONEYWELL INTL INC	COM	438516106	212	SOLE	1605	SH	1431	0	174
INTERNATIONAL FLAVORSFRAGRA	COM	459506101	213	SOLE	1590	SH	0	0	1590
MURPHY USA INC	COM	626755102	310	SOLE	4045	SH	0	0	4045
SPDR SERIES TRUST	PORTFOLIO LN TSR	78464A664	1574	SOLE	44917	SH	44597	0	320
EATON VANCE ENHANCED EQ INC	COM	278274105	1336	SOLE	103187	SH	101164	0	2023
DELTA AIR LINES INC DEL	COM NEW	247361702	645	SOLE	12932	SH	10912	0	2020
FLEETCOR TECHNOLOGIES INC	COM	339041105	202	SOLE	1090	SH	0	0	1090
WORLD WRESTLING ENTMT INC	CL A	98156Q108	667	SOLE	8931	SH	8389	0	542
DISNEY WALT CO	COM DISNEY	254687106	310	SOLE	2828	SH	2725	0	103
WALMART INC	COM	931142103	445	SOLE	4781	SH	4661	0	120
SCHWAB STRATEGIC TR	EMRG MKTEQ ETF	808524706	373	SOLE	15845	SH	15750	0	95
TJX COS INC NEW	COM	872540109	859	SOLE	19210	SH	19140	0	70
NIKE INC	CL B	654106103	261	SOLE	3518	SH	3423	0	95
US BANCORP DEL	COM NEW	902973304	413	SOLE	9036	SH	1931	0	7105
CHEVRON CORP NEW	COM	166764100	250	SOLE	2301	SH	2211	0	90
VERIZON COMMUNICATIONS INC	COM	92343V104	1265	SOLE	22498	SH	12425	0	10073
TRIBUNE MEDIA CO	CL A	896047503	379	SOLE	8342	SH	0	0	8342
ALTRIA GROUP INC	COM	02209S103	721	SOLE	14591	SH	8413	0	6178
